,,,units:,NA,µS cm-1,mg L-1,mg equiv. CaCO3 L-1,mg L-1,µg L-1,µg L-1,µg L-1,µg L-1,m-1,L mg-1 m-1,NA
ID,Pool,Site,Date,pH,Conductivity,Dissolved oxigen,Total hardness,DOC,DIN,Total nitrogen,DRP,Total phosphorus,ag(440),SUVA254,MS index
1O,RH1,shore,October_2009,4.91,13.4,NA,21.2,5.6,83.6,1870,60,187,3.45,7.4,3.8
2O,RH2,shore,October_2009,5.52,8.7,NA,46.2,5.1,41.3,1980,30,187,2.53,6.91,3.93
3O,RH3,shore,October_2009,4.72,15.2,NA,13.8,2.8,10,1980,130,132,1.38,7.57,4.57
4O,RH4,north shore,October_2009,5.09,11.8,NA,33.2,5.7,55.3,1650,30,132,2.99,7.92,3.63
5O,RH5,shore,October_2009,4.82,5.5,NA,25.8,3.9,54.4,3410,20,77,2.76,7.38,3.07
1D,RH1,shore,December_2009,6.39,19.1,10.97,38.5,7.2,21.1,1320,25,99,3.22,6.37,5.18
2D,RH2,shore,December_2009,4.75,22.6,11.01,42.1,7.7,12.1,1870,30,99,3.68,7.66,4.24
3D,RH3,shore,December_2009,4.67,26.7,11.69,18.9,13.4,22.6,5720,40,264,7.14,7.58,4
4D,RH4,north shore,December_2009,6.75,25.6,11.74,24.8,5.3,34,7480,30,143,0.92,4.43,2.88
5D,RH5,shore,December_2009,4.65,23,11.48,20.1,11,11.2,10230,50,77,2.53,5.9,4.04
1F,RH1,shore,February_2010,5.9,21.4,10.45,39.5,12.7,53,8030,30,121,3.92,4.7,3.8
2F,RH2,shore,February_2010,5.19,22.6,10.25,34,5.9,30.3,10010,40,143,4.15,11.24,4
3F,RH3,shore,February_2010,4.66,25.7,10.56,32,12.5,45.3,11330,40,154,7.6,9.1,4.49
4F,RH4,north shore,February_2010,6.65,26.8,10.89,36.6,4,0,5610,10,176,4.38,10.42,2.96
5F,RH5,shore,February_2010,4.82,27.2,10.43,24.5,7.1,22.3,8250,40,341,9.44,12.59,4.3
1A,RH1,shore,April_2010,7.1,21.4,10.72,25.3,7.6,23.1,9790,100,242,4.61,8.27,4.42
2A,RH2,shore,April_2010,4.88,24,11.42,20.3,7.5,0,11110,60,176,5.07,9.33,3.95
3A,RH3,shore,April_2010,5.4,28.5,10.45,18.8,12.7,103.3,8910,60,308,8.75,9.72,4.14
4A,RH4,north shore,April_2010,6.2,28.5,11.25,27.7,5.3,43,3630,10,220,9.21,6.01,3.9
5A,RH5,shore,April_2010,5.43,27.1,11.15,24.2,11.6,73.2,3740,20,143,7.14,7.98,4.71
