ID,Pool,Site,Date,Fil,Lrods,Vibrio,Lcocci,Srods,Scocci
1O,RH1,shore,October_2009,0,16921,5315,12676,1747,25994
2O,RH2,shore,October_2009,1435,5645,2384,7381,888,12075
3O,RH3,shore,October_2009,13307,1597,392,8131,708,13222
4O,RH4,north_shore,October_2009,0,8085,3499,7534,2028,25353
5O,RH5,shore,October_2009,0,1921,451,15662,666,31621
1D,RH1,shore,December_2009,0,12374,9228,21906,4503,38421
2D,RH2,shore,December_2009,0,22924,5933,34663,6687,77581
3D,RH3,shore,December_2009,0,12309,3471,46807,8694,139006
4D,RH4,north_shore,December_2009,44419,76819,19692,44391,24931,156132
5D,RH5,shore,December_2009,0,66952,23046,134707,2949,102890
1F,RH1,shore,February_2010,3177,6414,7533,22218,4013,34495
2F,RH2,shore,February_2010,0,7263,4879,25886,4098,137049
3F,RH3,shore,February_2010,3886,9283,1294,17402,2522,93008
4F,RH4,north_shore,February_2010,5860,54624,20331,33949,12469,58990
5F,RH5,shore,February_2010,0,21324,17482,24397,7064,106885
1A,RH1,shore,April_2010,12331,21098,11615,16083,6592,33478
2A,RH2,shore,April_2010,0,6950,4028,22525,1395,94037
3A,RH3,shore,April_2010,0,12394,17281,18608,4678,121090
4A,RH4,north_shore,April_2010,0,901,2484,3455,642,50957
5A,RH5,shore,April_2010,0,7626,3338,17231,2016,60287
